,zipcode,latitude,longitude,cluster,x,y
2374,38748,35.4733,-80.8726,7,1355118.3426469578,1487850.5863800342
2375,11230,32.6368,-83.6395,4,1149929.8227357618,1137660.0137307176
2376,81133,40.9548,-73.9602,11,1823809.6462721813,2206368.7368034674
2377,37334,37.0462,-76.4096,7,1713835.004095565,1733208.388511899
2378,08068,38.2995,-77.4772,7,1594454.130334985,1852274.4205601255
2379,48307,35.3344,-81.7707,7,1277606.6717281796,1460048.4024111137
2380,32127,32.5316,-97.309,0,-122281.49080742167,1051880.8900754896
2381,08520,39.7467,-81.5153,10,1225302.4275237294,1952154.3516327718
2382,98499,46.9939,-122.743,17,-2016690.0211173734,2952658.4498701026
2383,75182,41.9547,-78.654,9,1419999.8011588464,2235799.0919182673
2384,15223,48.9879,-123.0555,17,-1977863.4972615805,3170354.37991779
2385,11433,31.9494,-89.8095,19,582125.1563629016,1005110.7044763234
2386,36116,33.9517,-96.712,0,-65325.85464725599,1209823.4364685868
2387,15627,38.4489,-78.8714,7,1472794.905128647,1846227.1723950477
2388,80812,48.531,-121.6643,17,-1892117.385547459,3093711.7638577847
2389,80422,33.3563,-97.1814,0,-109218.22919113016,1143747.2724394056
2390,48231,39.4077,-82.1113,10,1180784.7119615169,1907041.4368335393
2391,61944,41.6189,-80.3086,9,1292023.6114351957,2175181.623626694
2392,43952,40.817,-74.0,11,1824115.7837987659,2190585.851400515
2393,98367,48.5255,-121.9887,17,-1915602.1265774972,3099627.618089045
2394,19047,39.7096,-86.2614,3,825993.125186098,1896796.330978802
2395,22548,39.7555,-121.6069,5,-2148090.045889461,2150748.202603048
2396,71203,43.363,-92.126,8,312403.23938743514,2269610.0587835154
2397,99821,42.352,-71.2084,1,2006303.6337433099,2413469.1187646072
2398,46173,37.427,-105.4049,6,-823060.9272047195,1639365.366101666
2399,07650,37.7162,-76.382,7,1700825.277618895,1807195.9510880786
2400,35563,39.9975,-85.7466,3,866017.4258169963,1933461.3527725628
2401,33179,35.5836,-80.9631,7,1345133.7847611762,1498756.765666147
2402,39428,40.9461,-73.8669,11,1831615.3383442508,2207215.096149691
2403,60625,39.7906,-81.5562,10,1221124.4977692596,1956490.3894892589
2404,75231,29.8157,-94.3395,14,160392.69523384798,750328.2227148741
2405,55124,40.8403,-74.0925,11,1815986.6380991288,2191354.343068929
2406,43758,43.4017,-94.818,8,95287.87342650363,2268154.783684084
2407,56027,40.3472,-80.1153,9,1331482.9032831423,2037414.4169393757
2408,35406,32.7493,-97.2181,0,-113479.23277245829,1076048.0435280933
2409,75460,40.7079,-75.1507,11,1732944.487150683,2157140.8029524344
2410,98372,43.0194,-70.8997,1,2011233.2302701923,2492029.3077999996
2411,75226,40.8462,-73.9954,11,1823739.9240869838,2193856.95743839
2412,08859,39.6192,-85.4321,3,897176.8600205643,1894242.1428490875
2413,80821,40.3698,-80.634,9,1287983.0424601755,2032763.381385806
2414,08091,39.816,-105.4753,6,-802549.2322193622,1906402.4466800082
2415,39209,37.9038,-77.6308,7,1589917.4766528541,1806182.2297918557
2416,93106,43.0932,-92.144,8,312174.64048546,2239447.2418506276
